timestamp,total sales
2025-03-01,87019
2025-02-01,62032
2025-01-01,54503
2024-12-01,78498
2024-11-01,76008
2024-10-01,71802
2024-09-01,62491
2024-08-01,79278
2024-07-01,69202
2024-06-01,67631
2024-05-01,78485
2024-04-01,68603
2024-03-01,76920
2024-02-01,60341
2024-01-01,47543
2023-12-01,75164
2023-11-01,70079
2023-10-01,60805
2023-09-01,68961
2023-08-01,65046
2023-07-01,66527
2023-06-01,69351
2023-05-01,70001
2023-04-01,70812
2023-03-01,75404
2023-02-01,57044
2023-01-01,52001
2022-12-01,72058
2022-11-01,63305
2022-10-01,60604
2022-09-01,59465
2022-08-01,64335
2022-07-01,60631
2022-06-01,63091
2022-05-01,59432
2022-04-01,61668
2022-03-01,59380
2022-02-01,52424
2022-01-01,47872
2021-12-01,51340
