timestamp,Elantra,IONIQ 5,IONIQ 6,Kona,Nexo,Palisade,Santa Cruz,Santa Fe,Sonata,Tucson,Venue,IONIQ 5,IONIQ 6,Ioniq 5,Ioniq 6,Accent,Ioniq,Veloster
2025-03-01,14461,3919,1435,7024,0,11742,2924,13543,5706,23631,2634,,,,,,,
2025-02-01,10163,,,5629,0,7806,1938,9562,5334,16317,1829,2442,1012,,,,,
2025-01-01,8866,,,4365,0,6687,1786,8296,4757,15025,1600,,,2250,871,,,
2024-12-01,11585,4595,1209,5846,1,10298,2042,13309,7642,20172,1799,,,,,,,
2024-11-01,11344,4989,1121,6133,0,8982,2393,12376,6971,20178,1521,,,,,,,
2024-10-01,12151,,,5685,4,8983,2427,9644,6300,19829,1444,,,4498,837,,,
2024-09-01,11186,,,5144,2,8202,2125,7918,5575,16802,1602,,,3336,599,,,
2024-08-01,14379,,,6112,8,11208,2486,10152,5953,20864,2470,,,4838,808,,,
2024-07-01,13764,,,6713,2,8635,2615,8989,5755,16135,2400,,,3416,778,,,
2024-06-01,12016,,,6904,7,9203,2969,9803,5935,13581,2544,,,3755,914,,,
2024-05-01,13311,,,8308,6,10147,3603,10997,6700,17371,2494,,,4449,1099,,,
2024-04-01,10102,,,8273,13,9142,2956,9728,5348,15685,2401,,,3702,1253,,,
2024-03-01,11528,,,9453,17,9785,3362,10834,5664,18394,2538,,,3361,1984,,,
2024-02-01,8432,,,7024,11,7832,2568,9239,4379,15999,1959,,,1996,902,,,
2024-01-01,6900,,,6577,23,7638,2487,6021,3121,11116,1435,,,1465,760,,,
2023-12-01,8577,,,7680,25,14396,2641,12215,3222,19424,1667,,,3261,2056,0,0,0
2023-11-01,8813,,,6991,20,9185,2396,13497,2321,21382,1716,,,2372,1386,0,0,0
2023-10-01,9456,,,7927,23,7071,2555,9700,2460,15638,1757,,,2979,1239,0,0,0
2023-09-01,9405,,,6693,16,7551,3051,12676,3401,18813,1732,,,3958,1665,0,0,0
2023-08-01,11262,,,5777,18,6107,3079,11732,3397,16242,2197,,,3572,1663,0,0,0
2023-07-01,11898,,,6123,34,5752,2903,10612,3209,17534,2581,,,4135,1745,1,0,0
2023-06-01,13424,,,6261,8,5873,3627,11624,3834,17707,2695,,,3136,1162,0,0,0
2023-05-01,15605,,,5613,16,7013,3526,10039,4321,18038,2413,,,2446,971,0,0,0
2023-04-01,13236,,,6831,16,6959,3590,10953,4689,18676,2648,,,2323,890,0,0,1
2023-03-01,13447,,,7314,21,6176,3825,13236,5310,20111,3625,,,2114,222,2,0,1
2023-02-01,10371,,,6080,28,6742,2868,7993,4307,14031,2537,,,2074,,12,,1
2023-01-01,8655,,,5826,16,6684,2614,7297,4873,12028,2441,,,1548,,16,,3
2022-12-01,11743,,,6972,25,7394,3487,11699,6881,18557,3407,,,1720,,154,0,19
2022-11-01,11040,,,5562,8,5763,3180,10955,6216,16059,2617,,,1191,,687,2,25
2022-10-01,8530,,,5780,30,5775,3010,10806,6796,15066,1465,,,1579,,1683,1,83
2022-09-01,10761,,,5252,27,6778,2900,9192,6177,12971,2107,,,1306,,1785,0,209
2022-08-01,14238,,,3388,18,8220,2899,9510,4833,14305,2952,,,1516,,2174,1,281
2022-07-01,12021,,,4253,29,5121,2801,9532,4633,14278,1895,,,1978,,3910,6,174
2022-06-01,8372,,,6101,49,6866,3502,10691,4736,15648,1988,,,2853,,2088,0,197
2022-05-01,7731,,,5665,9,7395,3151,10548,5053,14152,2332,,,1918,,1273,14,191
2022-04-01,10669,,,5485,47,8351,3150,11074,2062,14616,1782,,,2677,,1372,104,279
2022-03-01,10205,,,6053,113,7283,2950,10124,1716,13642,2083,,,2700,,1446,860,205
2022-02-01,6786,,,4591,25,7408,2630,8104,3037,12928,2176,,,2555,,744,1269,171
2022-01-01,5081,,,4892,28,6334,2820,7354,2991,13085,2290,,,989,,507,1415,86
2021-12-01,5193,,,5299,37,6882,3000,8698,3514,13842,2446,,,153,,844,1361,71
